L4 | Mon May 21 01:40:46 2018 (675 ms) | general | New game starting up
L4 | Mon May 21 01:40:46 2018 (675 ms) | general | Target game image size:  1024x600

L4 | Mon May 21 01:40:46 2018 (675 ms) | general | Ideal window dimensions:  1280x720

L4 | Mon May 21 01:40:46 2018 (675 ms) | general | Trying to start in fullscreen mode.
L4 | Mon May 21 01:40:46 2018 (675 ms) | general | The following frame rates are considered possible:
L4 | Mon May 21 01:40:46 2018 (675 ms) | general | 30 fps
L4 | Mon May 21 01:40:46 2018 (675 ms) | general | 60 fps
L4 | Mon May 21 01:40:46 2018 (675 ms) | general | 120 fps
L4 | Mon May 21 01:40:46 2018 (675 ms) | general | 144 fps
L4 | Mon May 21 01:40:46 2018 (676 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Mon May 21 01:40:46 2018 (676 ms) | general | Current screen configuration is 1440x789 with aspect ratio 1.82
L4 | Mon May 21 01:40:46 2018 (676 ms) | general | Sticking with user's current screen resolution
L4 | Mon May 21 01:40:46 2018 (676 ms) | general | Checking if requested video mode (1440x789) is available
L4 | Mon May 21 01:40:46 2018 (676 ms) | general | Available video modes:
L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    2560 x 1600

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    2048 x 1152

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1920 x 1440

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1920 x 1200

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1920 x 1080

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1856 x 1392

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1792 x 1344

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1680 x 1050

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1600 x 1200

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1600 x 900

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1440 x 900

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1440 x 789

L4 | Mon May 21 01:40:46 2018 (676 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Mon May 21 01:40:46 2018 (676 ms) | general |    ^^^^ this mode matches requested mode
L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1400 x 1050

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1366 x 768

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1360 x 768

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1280 x 1024

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1280 x 960

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1280 x 800

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1280 x 768

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1280 x 720

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    1024 x 768

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    848 x 480

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    800 x 600

L5 | Mon May 21 01:40:46 2018 (676 ms) | general |    640 x 480

L4 | Mon May 21 01:40:46 2018 (791 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=940 (requested 1024)

L4 | Mon May 21 01:40:48 2018 (643 ms) | general | Measured frame rate = 58.358066 fps

L4 | Mon May 21 01:40:48 2018 (643 ms) | general | Closest possible frame rate = 60 fps

L4 | Mon May 21 01:40:48 2018 (643 ms) | general | Vsync seems to be enforcing an allowed frame rate of 60 fps.

L4 | Mon May 21 01:40:48 2018 (643 ms) | general | Recording game into file recordedGames/recordedGame00001.txt
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y0.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y0_square.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y0.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y0_square.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y0.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y0_square.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y0.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y0_square.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y1.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y1_square.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y1.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y1_square.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y1.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y1_square.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y1.tga does not exist
L1 | Mon May 21 01:41:00 2018 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y1_square.tga does not exist
L1 | Mon May 21 01:41:00 2018 (172 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y2.tga does not exist
