L4 | Mon May  7 04:27:56 2018 (837 ms) | general | Server starting up
L4 | Mon May  7 04:27:57 2018 (89 ms) | general | Server using version number 88
L4 | Mon May  7 04:27:57 2018 (170 ms) | general | lifeLog starting up
L4 | Mon May  7 04:27:57 2018 (173 ms) | general | Backup system inited.  Backups on = 1, target hour UTC = 8, current hour UTC = 4, last backup was 423796.465833 hours ago
L4 | Mon May  7 04:27:58 2018 (699 ms) | general | foodLog starting up
L4 | Mon May  7 04:27:58 2018 (700 ms) | general | failureLog starting up
L4 | Mon May  7 04:27:58 2018 (729 ms) | general | No lookTimes present, not cleaning map.db
L4 | Mon May  7 04:27:59 2018 (27 ms) | general | No lookTimes present, not cleaning mapTime.db
L4 | Mon May  7 04:27:59 2018 (326 ms) | general | No lookTimes present, not cleaning biome.db
L4 | Mon May  7 04:27:59 2018 (893 ms) | general | No lookTimes present, not cleaning floor.db
L4 | Mon May  7 04:28:00 2018 (210 ms) | general | No lookTimes present, not cleaning floorTime.db
L4 | Mon May  7 04:28:00 2018 (506 ms) | general | Biome 0:  Found 14 natural objects with total weight 15.000000
L4 | Mon May  7 04:28:00 2018 (506 ms) | general | Biome 3:  Found 11 natural objects with total weight 7.410000
L4 | Mon May  7 04:28:00 2018 (507 ms) | general | Biome 4:  Found 7 natural objects with total weight 3.410000
L4 | Mon May  7 04:28:00 2018 (507 ms) | general | Biome 5:  Found 9 natural objects with total weight 4.551000
L4 | Mon May  7 04:28:00 2018 (507 ms) | general | Biome 2:  Found 6 natural objects with total weight 4.500000
L4 | Mon May  7 04:28:00 2018 (507 ms) | general | Biome 1:  Found 5 natural objects with total weight 7.000000
L4 | Mon May  7 04:28:00 2018 (507 ms) | general | 
Cleaning map of objects that have been removed and variable objects...
L4 | Mon May  7 04:28:00 2018 (786 ms) | general | ...0 map cells were set, and 0 needed to be cleared.
L4 | Mon May  7 04:28:00 2018 (786 ms) | general | ...0 contained objects present, and 0 needed to be cleared.
L4 | Mon May  7 04:28:00 2018 (787 ms) | general | Listening for connection on port 8005
L4 | Mon May  7 04:28:06 2018 (801 ms) | general | Apocalypse check:  New remote apocalypse:  5.
